                               Labor Force Data by County, 2018 Annual Averages

                 State  County                                                                                              
                 FIPS   FIPS                                                                  Labor                     Unemployed    
   LAUS Code     Code   Code   County Name/State Abbreviation                    Year         Force     Employed      Level     Rate
CN1718500000000   17     185   Wabash County, IL                                 2018         5,728        5,473        255      4.5
CN1718700000000   17     187   Warren County, IL                                 2018         8,691        8,324        367      4.2
CN1718900000000   17     189   Washington County, IL                             2018         9,625        9,335        290      3.0
CN1719100000000   17     191   Wayne County, IL                                  2018         6,949        6,563        386      5.6
CN1719300000000   17     193   White County, IL                                  2018         6,685        6,397        288      4.3
CN1719500000000   17     195   Whiteside County, IL                              2018        28,466       27,164      1,302      4.6
CN1719700000000   17     197   Will County, IL                                   2018       357,226      342,785     14,441      4.0
CN1719900000000   17     199   Williamson County, IL                             2018        31,873       30,236      1,637      5.1
CN1720100000000   17     201   Winnebago County, IL                              2018       141,196      133,101      8,095      5.7
CN1720300000000   17     203   Woodford County, IL                               2018        19,161       18,379        782      4.1
CN1800100000000   18     001   Adams County, IN                                  2018        17,494       17,038        456      2.6
CN1800300000000   18     003   Allen County, IN                                  2018       184,863      179,032      5,831      3.2
CN1800500000000   18     005   Bartholomew County, IN                            2018        45,295       44,110      1,185      2.6
CN1800700000000   18     007   Benton County, IN                                 2018         4,574        4,427        147      3.2
CN1800900000000   18     009   Blackford County, IN                              2018         5,341        5,135        206      3.9
CN1801100000000   18     011   Boone County, IN                                  2018        35,904       34,933        971      2.7
CN1801300000000   18     013   Brown County, IN                                  2018         7,659        7,416        243      3.2
CN1801500000000   18     015   Carroll County, IN                                2018        10,264        9,928        336      3.3
CN1801700000000   18     017   Cass County, IN                                   2018        18,296       17,620        676      3.7
CN1801900000000   18     019   Clark County, IN                                  2018        61,620       59,509      2,111      3.4
CN1802100000000   18     021   Clay County, IN                                   2018        12,332       11,850        482      3.9
CN1802300000000   18     023   Clinton County, IN                                2018        17,200       16,715        485      2.8
CN1802500000000   18     025   Crawford County, IN                               2018         4,958        4,736        222      4.5
CN1802700000000   18     027   Daviess County, IN                                2018        16,531       16,084        447      2.7
CN1802900000000   18     029   Dearborn County, IN                               2018        26,132       25,182        950      3.6
CN1803100000000   18     031   Decatur County, IN                                2018        14,967       14,519        448      3.0
CN1803300000000   18     033   DeKalb County, IN                                 2018        22,501       21,865        636      2.8
CN1803500000000   18     035   Delaware County, IN                               2018        54,159       51,986      2,173      4.0
CN1803700000000   18     037   Dubois County, IN                                 2018        23,357       22,777        580      2.5
CN1803900000000   18     039   Elkhart County, IN                                2018       116,267      113,255      3,012      2.6
CN1804100000000   18     041   Fayette County, IN                                2018         9,203        8,776        427      4.6
CN1804300000000   18     043   Floyd County, IN                                  2018        41,401       40,026      1,375      3.3
CN1804500000000   18     045   Fountain County, IN                               2018         8,131        7,837        294      3.6
CN1804700000000   18     047   Franklin County, IN                               2018        11,395       10,972        423      3.7
CN1804900000000   18     049   Fulton County, IN                                 2018         9,958        9,620        338      3.4
CN1805100000000   18     051   Gibson County, IN                                 2018        19,475       18,954        521      2.7
CN1805300000000   18     053   Grant County, IN                                  2018        32,239       30,996      1,243      3.9
CN1805500000000   18     055   Greene County, IN                                 2018        13,754       13,145        609      4.4
CN1805700000000   18     057   Hamilton County, IN                               2018       181,103      176,224      4,879      2.7
CN1805900000000   18     059   Hancock County, IN                                2018        39,772       38,566      1,206      3.0
CN1806100000000   18     061   Harrison County, IN                               2018        20,172       19,474        698      3.5
CN1806300000000   18     063   Hendricks County, IN                              2018        88,595       86,041      2,554      2.9
CN1806500000000   18     065   Henry County, IN                                  2018        22,475       21,683        792      3.5
CN1806700000000   18     067   Howard County, IN                                 2018        37,645       36,116      1,529      4.1
CN1806900000000   18     069   Huntington County, IN                             2018        18,376       17,722        654      3.6
CN1807100000000   18     071   Jackson County, IN                                2018        22,870       22,219        651      2.8
CN1807300000000   18     073   Jasper County, IN                                 2018        16,509       15,860        649      3.9
CN1807500000000   18     075   Jay County, IN                                    2018         9,843        9,516        327      3.3
CN1807700000000   18     077   Jefferson County, IN                              2018        15,100       14,582        518      3.4
CN1807900000000   18     079   Jennings County, IN                               2018        13,642       13,145        497      3.6
CN1808100000000   18     081   Johnson County, IN                                2018        82,164       79,802      2,362      2.9
CN1808300000000   18     083   Knox County, IN                                   2018        18,898       18,283        615      3.3
CN1808500000000   18     085   Kosciusko County, IN                              2018        42,697       41,567      1,130      2.6
CN1808700000000   18     087   LaGrange County, IN                               2018        20,613       20,098        515      2.5
CN1808900000000   18     089   Lake County, IN                                   2018       232,368      220,886     11,482      4.9
CN1809100000000   18     091   LaPorte County, IN                                2018        48,027       45,925      2,102      4.4
CN1809300000000   18     093   Lawrence County, IN                               2018        21,152       20,339        813      3.8
CN1809500000000   18     095   Madison County, IN                                2018        59,431       57,126      2,305      3.9
CN1809700000000   18     097   Marion County, IN                                 2018       490,706      473,574     17,132      3.5
CN1809900000000   18     099   Marshall County, IN                               2018        23,481       22,735        746      3.2
CN1810100000000   18     101   Martin County, IN                                 2018         5,214        5,071        143      2.7
CN1810300000000   18     103   Miami County, IN                                  2018        15,892       15,254        638      4.0
CN1810500000000   18     105   Monroe County, IN                                 2018        69,690       67,180      2,510      3.6
CN1810700000000   18     107   Montgomery County, IN                             2018        19,157       18,575        582      3.0
CN1810900000000   18     109   Morgan County, IN                                 2018        36,392       35,160      1,232      3.4
CN1811100000000   18     111   Newton County, IN                                 2018         7,117        6,808        309      4.3
CN1811300000000   18     113   Noble County, IN                                  2018        23,666       22,972        694      2.9
CN1811500000000   18     115   Ohio County, IN                                   2018         3,201        3,089        112      3.5
CN1811700000000   18     117   Orange County, IN                                 2018         8,597        8,264        333      3.9
CN1811900000000   18     119   Owen County, IN                                   2018         9,350        8,943        407      4.4
CN1812100000000   18     121   Parke County, IN                                  2018         7,169        6,883        286      4.0
CN1812300000000   18     123   Perry County, IN                                  2018         9,323        8,979        344      3.7
CN1812500000000   18     125   Pike County, IN                                   2018         6,140        5,926        214      3.5
CN1812700000000   18     127   Porter County, IN                                 2018        86,770       83,434      3,336      3.8
CN1812900000000   18     129   Posey County, IN                                  2018        13,731       13,343        388      2.8
CN1813100000000   18     131   Pulaski County, IN                                2018         6,528        6,324        204      3.1
CN1813300000000   18     133   Putnam County, IN                                 2018        16,882       16,245        637      3.8
CN1813500000000   18     135   Randolph County, IN                               2018        11,614       11,160        454      3.9
CN1813700000000   18     137   Ripley County, IN                                 2018        14,080       13,573        507      3.6
CN1813900000000   18     139   Rush County, IN                                   2018         9,038        8,778        260      2.9
CN1814100000000   18     141   St. Joseph County, IN                             2018       136,728      131,857      4,871      3.6
CN1814300000000   18     143   Scott County, IN                                  2018        10,612       10,197        415      3.9
CN1814500000000   18     145   Shelby County, IN                                 2018        23,195       22,476        719      3.1
CN1814700000000   18     147   Spencer County, IN                                2018        10,983       10,623        360      3.3
CN1814900000000   18     149   Starke County, IN                                 2018        10,484       10,030        454      4.3
CN1815100000000   18     151   Steuben County, IN                                2018        20,351       19,809        542      2.7
CN1815300000000   18     153   Sullivan County, IN                               2018         8,616        8,214        402      4.7
CN1815500000000   18     155   Switzerland County, IN                            2018         5,096        4,898        198      3.9
CN1815700000000   18     157   Tippecanoe County, IN                             2018        97,693       94,612      3,081      3.2
CN1815900000000   18     159   Tipton County, IN                                 2018         9,238        8,979        259      2.8
CN1816100000000   18     161   Union County, IN                                  2018         3,671        3,556        115      3.1
CN1816300000000   18     163   Vanderburgh County, IN                            2018        95,249       92,211      3,038      3.2
CN1816500000000   18     165   Vermillion County, IN                             2018         7,169        6,774        395      5.5
CN1816700000000   18     167   Vigo County, IN                                   2018        49,142       46,989      2,153      4.4
CN1816900000000   18     169   Wabash County, IN                                 2018        14,901       14,381        520      3.5
CN1817100000000   18     171   Warren County, IN                                 2018         4,219        4,083        136      3.2
CN1817300000000   18     173   Warrick County, IN                                2018        33,148       32,176        972      2.9
CN1817500000000   18     175   Washington County, IN                             2018        13,767       13,282        485      3.5
CN1817700000000   18     177   Wayne County, IN                                  2018        31,319       30,193      1,126      3.6
CN1817900000000   18     179   Wells County, IN                                  2018        14,396       13,991        405      2.8
CN1818100000000   18     181   White County, IN                                  2018        13,639       13,220        419      3.1
CN1818300000000   18     183   Whitley County, IN                                2018        17,645       17,141        504      2.9
CN1900100000000   19     001   Adair County, IA                                  2018         4,116        4,018         98      2.4
CN1900300000000   19     003   Adams County, IA                                  2018         2,119        2,078         41      1.9
CN1900500000000   19     005   Allamakee County, IA                              2018         7,366        7,140        226      3.1
CN1900700000000   19     007   Appanoose County, IA                              2018         5,856        5,662        194      3.3
CN1900900000000   19     009   Audubon County, IA                                2018         3,116        3,040         76      2.4
CN1901100000000   19     011   Benton County, IA                                 2018        13,356       12,995        361      2.7
CN1901300000000   19     013   Black Hawk County, IA                             2018        68,953       67,044      1,909      2.8
CN1901500000000   19     015   Boone County, IA                                  2018        14,816       14,499        317      2.1
CN1901700000000   19     017   Bremer County, IA                                 2018        13,845       13,564        281      2.0
CN1901900000000   19     019   Buchanan County, IA                               2018        11,185       10,899        286      2.6
CN1902100000000   19     021   Buena Vista County, IA                            2018        11,349       11,108        241      2.1
CN1902300000000   19     023   Butler County, IA                                 2018         7,833        7,618        215      2.7
CN1902500000000   19     025   Calhoun County, IA                                2018         4,290        4,182        108      2.5
CN1902700000000   19     027   Carroll County, IA                                2018        10,811       10,609        202      1.9
CN1902900000000   19     029   Cass County, IA                                   2018         7,098        6,908        190      2.7
CN1903100000000   19     031   Cedar County, IA                                  2018        10,759       10,499        260      2.4
CN1903300000000   19     033   Cerro Gordo County, IA                            2018        23,298       22,691        607      2.6
CN1903500000000   19     035   Cherokee County, IA                               2018         5,943        5,815        128      2.2
CN1903700000000   19     037   Chickasaw County, IA                              2018         6,407        6,234        173      2.7
CN1903900000000   19     039   Clarke County, IA                                 2018         4,801        4,665        136      2.8
CN1904100000000   19     041   Clay County, IA                                   2018         8,583        8,310        273      3.2
CN1904300000000   19     043   Clayton County, IA                                2018        10,133        9,812        321      3.2
CN1904500000000   19     045   Clinton County, IA                                2018        22,606       21,878        728      3.2
CN1904700000000   19     047   Crawford County, IA                               2018         8,122        7,846        276      3.4
CN1904900000000   19     049   Dallas County, IA                                 2018        47,653       46,835        818      1.7
CN1905100000000   19     051   Davis County, IA                                  2018         4,251        4,138        113      2.7
CN1905300000000   19     053   Decatur County, IA                                2018         4,322        4,225         97      2.2
CN1905500000000   19     055   Delaware County, IA                               2018        10,411       10,196        215      2.1
CN1905700000000   19     057   Des Moines County, IA                             2018        19,450       18,816        634      3.3
CN1905900000000   19     059   Dickinson County, IA                              2018         9,865        9,554        311      3.2
CN1906100000000   19     061   Dubuque County, IA                                2018        55,213       53,880      1,333      2.4
CN1906300000000   19     063   Emmet County, IA                                  2018         5,292        5,147        145      2.7
CN1906500000000   19     065   Fayette County, IA                                2018        10,572       10,259        313      3.0
CN1906700000000   19     067   Floyd County, IA                                  2018         8,806        8,569        237      2.7
CN1906900000000   19     069   Franklin County, IA                               2018         5,783        5,660        123      2.1
CN1907100000000   19     071   Fremont County, IA                                2018         3,704        3,635         69      1.9
CN1907300000000   19     073   Greene County, IA                                 2018         5,400        5,278        122      2.3
CN1907500000000   19     075   Grundy County, IA                                 2018         6,544        6,382        162      2.5
CN1907700000000   19     077   Guthrie County, IA                                2018         5,570        5,426        144      2.6
CN1907900000000   19     079   Hamilton County, IA                               2018         6,936        6,749        187      2.7
CN1908100000000   19     081   Hancock County, IA                                2018         5,974        5,836        138      2.3
CN1908300000000   19     083   Hardin County, IA                                 2018         8,248        8,013        235      2.8
CN1908500000000   19     085   Harrison County, IA                               2018         7,291        7,130        161      2.2
CN1908700000000   19     087   Henry County, IA                                  2018         9,580        9,343        237      2.5
CN1908900000000   19     089   Howard County, IA                                 2018         5,180        5,049        131      2.5
CN1909100000000   19     091   Humboldt County, IA                               2018         5,180        5,050        130      2.5
CN1909300000000   19     093   Ida County, IA                                    2018         4,091        4,011         80      2.0
CN1909500000000   19     095   Iowa County, IA                                   2018        10,407       10,192        215      2.1
CN1909700000000   19     097   Jackson County, IA                                2018        10,932       10,631        301      2.8
CN1909900000000   19     099   Jasper County, IA                                 2018        19,266       18,760        506      2.6
CN1910100000000   19     101   Jefferson County, IA                              2018         9,203        8,984        219      2.4
CN1910300000000   19     103   Johnson County, IA                                2018        85,186       83,551      1,635      1.9
CN1910500000000   19     105   Jones County, IA                                  2018        10,484       10,172        312      3.0
CN1910700000000   19     107   Keokuk County, IA                                 2018         5,088        4,941        147      2.9
CN1910900000000   19     109   Kossuth County, IA                                2018         8,514        8,342        172      2.0
CN1911100000000   19     111   Lee County, IA                                    2018        15,996       15,358        638      4.0
CN1911300000000   19     113   Linn County, IA                                   2018       119,524      116,211      3,313      2.8
CN1911500000000   19     115   Louisa County, IA                                 2018         6,075        5,916        159      2.6
CN1911700000000   19     117   Lucas County, IA                                  2018         4,467        4,378         89      2.0
CN1911900000000   19     119   Lyon County, IA                                   2018         6,949        6,842        107      1.5
CN1912100000000   19     121   Madison County, IA                                2018         8,397        8,132        265      3.2
CN1912300000000   19     123   Mahaska County, IA                                2018        11,695       11,406        289      2.5
CN1912500000000   19     125   Marion County, IA                                 2018        17,849       17,486        363      2.0
CN1912700000000   19     127   Marshall County, IA                               2018        18,008       17,210        798      4.4
CN1912900000000   19     129   Mills County, IA                                  2018         7,307        7,156        151      2.1
CN1913100000000   19     131   Mitchell County, IA                               2018         5,732        5,625        107      1.9
CN1913300000000   19     133   Monona County, IA                                 2018         4,456        4,333        123      2.8
CN1913500000000   19     135   Monroe County, IA                                 2018         3,898        3,784        114      2.9
CN1913700000000   19     137   Montgomery County, IA                             2018         4,923        4,803        120      2.4
CN1913900000000   19     139   Muscatine County, IA                              2018        21,734       21,159        575      2.6
CN1914100000000   19     141   O'Brien County, IA                                2018         8,111        7,950        161      2.0
CN1914300000000   19     143   Osceola County, IA                                2018         3,512        3,444         68      1.9
CN1914500000000   19     145   Page County, IA                                   2018         6,377        6,217        160      2.5
CN1914700000000   19     147   Palo Alto County, IA                              2018         4,895        4,788        107      2.2
CN1914900000000   19     149   Plymouth County, IA                               2018        14,786       14,507        279      1.9
CN1915100000000   19     151   Pocahontas County, IA                             2018         4,311        4,232         79      1.8
CN1915300000000   19     153   Polk County, IA                                   2018       264,356      257,650      6,706      2.5
CN1915500000000   19     155   Pottawattamie County, IA                          2018        47,848       46,733      1,115      2.3
CN1915700000000   19     157   Poweshiek County, IA                              2018        10,435       10,193        242      2.3
CN1915900000000   19     159   Ringgold County, IA                               2018         2,524        2,454         70      2.8
CN1916100000000   19     161   Sac County, IA                                    2018         5,273        5,148        125      2.4
CN1916300000000   19     163   Scott County, IA                                  2018        86,878       84,311      2,567      3.0
CN1916500000000   19     165   Shelby County, IA                                 2018         6,651        6,519        132      2.0
CN1916700000000   19     167   Sioux County, IA                                  2018        20,433       20,069        364      1.8
CN1916900000000   19     169   Story County, IA                                  2018        57,756       56,840        916      1.6
CN1917100000000   19     171   Tama County, IA                                   2018         9,509        9,228        281      3.0
CN1917300000000   19     173   Taylor County, IA                                 2018         3,227        3,163         64      2.0
CN1917500000000   19     175   Union County, IA                                  2018         6,375        6,149        226      3.5
CN1917700000000   19     177   Van Buren County, IA                              2018         3,666        3,567         99      2.7
CN1917900000000   19     179   Wapello County, IA                                2018        17,604       17,002        602      3.4
CN1918100000000   19     181   Warren County, IA                                 2018        27,637       27,007        630      2.3
CN1918300000000   19     183   Washington County, IA                             2018        12,123       11,840        283      2.3
CN1918500000000   19     185   Wayne County, IA                                  2018         2,769        2,693         76      2.7
CN1918700000000   19     187   Webster County, IA                                2018        19,109       18,487        622      3.3
CN1918900000000   19     189   Winnebago County, IA                              2018         4,979        4,850        129      2.6
CN1919100000000   19     191   Winneshiek County, IA                             2018        11,775       11,460        315      2.7
CN1919300000000   19     193   Woodbury County, IA                               2018        55,149       53,777      1,372      2.5
CN1919500000000   19     195   Worth County, IA                                  2018         4,162        4,049        113      2.7
CN1919700000000   19     197   Wright County, IA                                 2018         6,451        6,284        167      2.6
CN2000100000000   20     001   Allen County, KS                                  2018         6,313        6,059        254      4.0
CN2000300000000   20     003   Anderson County, KS                               2018         4,133        3,989        144      3.5
CN2000500000000   20     005   Atchison County, KS                               2018         6,985        6,662        323      4.6
CN2000700000000   20     007   Barber County, KS                                 2018         2,396        2,334         62      2.6
CN2000900000000   20     009   Barton County, KS                                 2018        13,413       12,970        443      3.3
CN2001100000000   20     011   Bourbon County, KS                                2018         7,120        6,822        298      4.2
CN2001300000000   20     013   Brown County, KS                                  2018         5,353        5,190        163      3.0
CN2001500000000   20     015   Butler County, KS                                 2018        31,938       30,833      1,105      3.5
CN2001700000000   20     017   Chase County, KS                                  2018         1,484        1,445         39      2.6
CN2001900000000   20     019   Chautauqua County, KS                             2018         1,417        1,360         57      4.0
CN2002100000000   20     021   Cherokee County, KS                               2018        10,046        9,669        377      3.8
CN2002300000000   20     023   Cheyenne County, KS                               2018         1,313        1,282         31      2.4
CN2002500000000   20     025   Clark County, KS                                  2018         1,065        1,039         26      2.4
CN2002700000000   20     027   Clay County, KS                                   2018         3,791        3,669        122      3.2
CN2002900000000   20     029   Cloud County, KS                                  2018         3,784        3,651        133      3.5
CN2003100000000   20     031   Coffey County, KS                                 2018         4,030        3,836        194      4.8
CN2003300000000   20     033   Comanche County, KS                               2018           882          860         22      2.5
CN2003500000000   20     035   Cowley County, KS                                 2018        16,735       16,161        574      3.4
CN2003700000000   20     037   Crawford County, KS                               2018        18,746       17,996        750      4.0
CN2003900000000   20     039   Decatur County, KS                                2018         1,251        1,213         38      3.0
CN2004100000000   20     041   Dickinson County, KS                              2018         9,142        8,821        321      3.5
CN2004300000000   20     043   Doniphan County, KS                               2018         4,181        4,033        148      3.5
CN2004500000000   20     045   Douglas County, KS                                2018        65,199       63,204      1,995      3.1
CN2004700000000   20     047   Edwards County, KS                                2018         1,512        1,475         37      2.4
CN2004900000000   20     049   Elk County, KS                                    2018         1,165        1,126         39      3.3
CN2005100000000   20     051   Ellis County, KS                                  2018        16,868       16,466        402      2.4
CN2005300000000   20     053   Ellsworth County, KS                              2018         2,722        2,646         76      2.8
CN2005500000000   20     055   Finney County, KS                                 2018        20,404       19,890        514      2.5
CN2005700000000   20     057   Ford County, KS                                   2018        17,186       16,743        443      2.6
CN2005900000000   20     059   Franklin County, KS                               2018        14,029       13,526        503      3.6
CN2006100000000   20     061   Geary County, KS                                  2018        11,492       10,941        551      4.8
CN2006300000000   20     063   Gove County, KS                                   2018         1,436        1,405         31      2.2
CN2006500000000   20     065   Graham County, KS                                 2018         1,121        1,085         36      3.2
CN2006700000000   20     067   Grant County, KS                                  2018         3,340        3,245         95      2.8
CN2006900000000   20     069   Gray County, KS                                   2018         3,437        3,369         68      2.0
CN2007100000000   20     071   Greeley County, KS                                2018           855          838         17      2.0
CN2007300000000   20     073   Greenwood County, KS                              2018         3,205        3,089        116      3.6
CN2007500000000   20     075   Hamilton County, KS                               2018         1,637        1,605         32      2.0
CN2007700000000   20     077   Harper County, KS                                 2018         2,748        2,669         79      2.9
CN2007900000000   20     079   Harvey County, KS                                 2018        16,864       16,319        545      3.2
CN2008100000000   20     081   Haskell County, KS                                2018         2,211        2,163         48      2.2
CN2008300000000   20     083   Hodgeman County, KS                               2018           991          966         25      2.5
CN2008500000000   20     085   Jackson County, KS                                2018         7,217        7,001        216      3.0
CN2008700000000   20     087   Jefferson County, KS                              2018        10,167        9,836        331      3.3
CN2008900000000   20     089   Jewell County, KS                                 2018         1,287        1,251         36      2.8
CN2009100000000   20     091   Johnson County, KS                                2018       336,677      326,954      9,723      2.9
CN2009300000000   20     093   Kearny County, KS                                 2018         2,083        2,034         49      2.4
CN2009500000000   20     095   Kingman County, KS                                2018         3,409        3,299        110      3.2
CN2009700000000   20     097   Kiowa County, KS                                  2018         1,306        1,275         31      2.4
CN2009900000000   20     099   Labette County, KS                                2018        10,272        9,862        410      4.0
CN2010100000000   20     101   Lane County, KS                                   2018           796          774         22      2.8
CN2010300000000   20     103   Leavenworth County, KS                            2018        36,546       35,216      1,330      3.6
CN2010500000000   20     105   Lincoln County, KS                                2018         1,684        1,642         42      2.5
CN2010700000000   20     107   Linn County, KS                                   2018         4,448        4,187        261      5.9
CN2010900000000   20     109   Logan County, KS                                  2018         1,670        1,634         36      2.2
CN2011100000000   20     111   Lyon County, KS                                   2018        16,617       16,030        587      3.5
CN2011300000000   20     113   McPherson County, KS                              2018        16,312       15,893        419      2.6
CN2011500000000   20     115   Marion County, KS                                 2018         6,041        5,853        188      3.1
CN2011700000000   20     117   Marshall County, KS                               2018         5,442        5,299        143      2.6
CN2011900000000   20     119   Meade County, KS                                  2018         2,291        2,243         48      2.1
CN2012100000000   20     121   Miami County, KS                                  2018        17,469       16,840        629      3.6
CN2012300000000   20     123   Mitchell County, KS                               2018         3,426        3,348         78      2.3
CN2012500000000   20     125   Montgomery County, KS                             2018        14,834       14,194        640      4.3
CN2012700000000   20     127   Morris County, KS                                 2018         2,985        2,902         83      2.8
CN2012900000000   20     129   Morton County, KS                                 2018         1,169        1,131         38      3.3
CN2013100000000   20     131   Nemaha County, KS                                 2018         5,499        5,373        126      2.3
CN2013300000000   20     133   Neosho County, KS                                 2018         6,010        5,716        294      4.9
CN2013500000000   20     135   Ness County, KS                                   2018         1,329        1,292         37      2.8
CN2013700000000   20     137   Norton County, KS                                 2018         2,746        2,687         59      2.1
CN2013900000000   20     139   Osage County, KS                                  2018         7,945        7,641        304      3.8
CN2014100000000   20     141   Osborne County, KS                                2018         2,004        1,951         53      2.6
CN2014300000000   20     143   Ottawa County, KS                                 2018         3,005        2,918         87      2.9
CN2014500000000   20     145   Pawnee County, KS                                 2018         2,940        2,847         93      3.2
CN2014700000000   20     147   Phillips County, KS                               2018         2,800        2,729         71      2.5
CN2014900000000   20     149   Pottawatomie County, KS                           2018        12,278       11,935        343      2.8
CN2015100000000   20     151   Pratt County, KS                                  2018         4,952        4,815        137      2.8
CN2015300000000   20     153   Rawlins County, KS                                2018         1,467        1,436         31      2.1
CN2015500000000   20     155   Reno County, KS                                   2018        29,916       28,841      1,075      3.6
CN2015700000000   20     157   Republic County, KS                               2018         2,401        2,335         66      2.7
CN2015900000000   20     159   Rice County, KS                                   2018         5,287        5,132        155      2.9
CN2016100000000   20     161   Riley County, KS                                  2018        35,429       34,407      1,022      2.9
CN2016300000000   20     163   Rooks County, KS                                  2018         2,522        2,441         81      3.2
CN2016500000000   20     165   Rush County, KS                                   2018         1,660        1,615         45      2.7
CN2016700000000   20     167   Russell County, KS                                2018         3,352        3,252        100      3.0
CN2016900000000   20     169   Saline County, KS                                 2018        30,094       29,170        924      3.1
CN2017100000000   20     171   Scott County, KS                                  2018         2,858        2,801         57      2.0
CN2017300000000   20     173   Sedgwick County, KS                               2018       246,605      237,249      9,356      3.8
CN2017500000000   20     175   Seward County, KS                                 2018         9,554        9,239        315      3.3
CN2017700000000   20     177   Shawnee County, KS                                2018        91,125       87,941      3,184      3.5
CN2017900000000   20     179   Sheridan County, KS                               2018         1,398        1,366         32      2.3
CN2018100000000   20     181   Sherman County, KS                                2018         2,894        2,812         82      2.8
CN2018300000000   20     183   Smith County, KS                                  2018         1,946        1,897         49      2.5
CN2018500000000   20     185   Stafford County, KS                               2018         1,952        1,899         53      2.7
CN2018700000000   20     187   Stanton County, KS                                2018         1,010          984         26      2.6
CN2018900000000   20     189   Stevens County, KS                                2018         2,655        2,580         75      2.8
CN2019100000000   20     191   Sumner County, KS                                 2018        10,784       10,403        381      3.5
CN2019300000000   20     193   Thomas County, KS                                 2018         4,230        4,120        110      2.6
CN2019500000000   20     195   Trego County, KS                                  2018         1,381        1,337         44      3.2
CN2019700000000   20     197   Wabaunsee County, KS                              2018         3,648        3,533        115      3.2
CN2019900000000   20     199   Wallace County, KS                                2018           819          798         21      2.6
CN2020100000000   20     201   Washington County, KS                             2018         2,927        2,847         80      2.7
CN2020300000000   20     203   Wichita County, KS                                2018         1,265        1,237         28      2.2
CN2020500000000   20     205   Wilson County, KS                                 2018         4,001        3,825        176      4.4
CN2020700000000   20     207   Woodson County, KS                                2018         1,594        1,525         69      4.3
CN2020900000000   20     209   Wyandotte County, KS                              2018        77,858       74,105      3,753      4.8
CN2100100000000   21     001   Adair County, KY                                  2018         7,246        6,879        367      5.1
CN2100300000000   21     003   Allen County, KY                                  2018         8,969        8,633        336      3.7
CN2100500000000   21     005   Anderson County, KY                               2018        11,951       11,520        431      3.6
CN2100700000000   21     007   Ballard County, KY                                2018         3,583        3,335        248      6.9
CN2100900000000   21     009   Barren County, KY                                 2018        19,141       18,293        848      4.4
CN2101100000000   21     011   Bath County, KY                                   2018         4,648        4,335        313      6.7
CN2101300000000   21     013   Bell County, KY                                   2018         8,513        7,973        540      6.3
CN2101500000000   21     015   Boone County, KY                                  2018        70,741       68,362      2,379      3.4
CN2101700000000   21     017   Bourbon County, KY                                2018         9,704        9,317        387      4.0
CN2101900000000   21     019   Boyd County, KY                                   2018        18,099       17,028      1,071      5.9
CN2102100000000   21     021   Boyle County, KY                                  2018        12,612       12,053        559      4.4
CN2102300000000   21     023   Bracken County, KY                                2018         3,851        3,664        187      4.9
CN2102500000000   21     025   Breathitt County, KY                              2018         3,643        3,377        266      7.3
CN2102700000000   21     027   Breckinridge County, KY                           2018         7,990        7,561        429      5.4
CN2102900000000   21     029   Bullitt County, KY                                2018        42,322       40,596      1,726      4.1
CN2103100000000   21     031   Butler County, KY                                 2018         5,206        4,953        253      4.9
CN2103300000000   21     033   Caldwell County, KY                               2018         5,419        5,163        256      4.7
CN2103500000000   21     035   Calloway County, KY                               2018        18,864       18,127        737      3.9
CN2103700000000   21     037   Campbell County, KY                               2018        50,530       48,865      1,665      3.3
CN2103900000000   21     039   Carlisle County, KY                               2018         2,311        2,198        113      4.9
CN2104100000000   21     041   Carroll County, KY                                2018         5,270        5,053        217      4.1
CN2104300000000   21     043   Carter County, KY                                 2018         9,894        8,982        912      9.2
CN2104500000000   21     045   Casey County, KY                                  2018         6,734        6,420        314      4.7
CN2104700000000   21     047   Christian County, KY                              2018        24,853       23,549      1,304      5.2
CN2104900000000   21     049   Clark County, KY                                  2018        17,202       16,493        709      4.1
CN2105100000000   21     051   Clay County, KY                                   2018         5,221        4,852        369      7.1
CN2105300000000   21     053   Clinton County, KY                                2018         3,869        3,657        212      5.5
CN2105500000000   21     055   Crittenden County, KY                             2018         3,908        3,706        202      5.2
CN2105700000000   21     057   Cumberland County, KY                             2018         3,134        2,994        140      4.5
CN2105900000000   21     059   Daviess County, KY                                2018        48,018       46,121      1,897      4.0
CN2106100000000   21     061   Edmonson County, KY                               2018         4,868        4,610        258      5.3
CN2106300000000   21     063   Elliott County, KY                                2018         2,070        1,878        192      9.3
CN2106500000000   21     065   Estill County, KY                                 2018         5,325        5,033        292      5.5
