,Total,county,population,Poverty_Rate
555,310,"Madison, ID",37450,0.8277703604806409
556,424,"Minidoka, ID",20292,2.0894933964123794
557,683,"Nez Perce, ID",39915,1.7111361643492422
558,103,"Oneida, ID",4275,2.409356725146199
559,119,"Owyhee, ID",11472,1.0373082287308228
560,485,"Payette, ID",22610,2.1450685537372847
561,149,"Power, ID",7719,1.9303018525715767
562,195,"Shoshone, ID",12690,1.5366430260047281
563,96,"Teton, ID",10275,0.9343065693430658
564,1530,"Twin Falls, ID",79957,1.9135285215803495
565,47,"Valley, ID",9606,0.4892775348740371
566,234,"Washington, ID",9944,2.3531777956556716
567,1041,"Adams, IL",67130,1.5507224787725309
568,108,"Alexander, IL",7629,1.4156508061344868
569,248,"Bond, IL",17470,1.4195764167143676
570,1552,"Boone, IL",53957,2.8763645124821617
571,22,"Brown, IL",6860,0.3206997084548105
572,521,"Bureau, IL",34056,1.5298332158797274
573,57,"Calhoun, IL",5059,1.1267048823878236
574,148,"Carroll, IL",14910,0.9926224010731053
575,308,"Cass, IL",13324,2.3116181326928853
576,2476,"Champaign, IL",204897,1.208412031410904
577,541,"Christian, IL",34298,1.5773514490640854
578,209,"Clark, IL",16182,1.2915585218143617
579,123,"Clay, IL",13566,0.9066784608580274
580,392,"Clinton, IL",37907,1.0341097950246656
581,553,"Coles, IL",53697,1.0298526919567201
582,130915,"Cook, IL",5240700,2.498044154406854
583,225,"Crawford, IL",19505,1.1535503716995643
584,162,"Cumberland, IL",10939,1.4809397568333487
585,1398,"DeKalb, IL",104741,1.334720882939823
586,239,"De Witt, IL",16420,1.4555420219244823
587,239,"Douglas, IL",19887,1.2017901141449188
588,16033,"DuPage, IL",932126,1.7200464314910215
589,304,"Edgar, IL",17960,1.6926503340757237
590,114,"Edwards, IL",6672,1.70863309352518
591,382,"Effingham, IL",34307,1.1134753840324132
592,556,"Fayette, IL",22060,2.5203989120580235
593,210,"Ford, IL",13832,1.5182186234817814
594,685,"Franklin, IL",39202,1.7473598285801744
595,561,"Fulton, IL",36346,1.5434985968194574
596,198,"Gallatin, IL",5415,3.656509695290859
597,217,"Greene, IL",13629,1.5921931176168465
598,984,"Grundy, IL",50228,1.9590666560484193
599,155,"Hamilton, IL",8368,1.8522944550669214
600,218,"Hancock, IL",18618,1.1709098721667204
601,74,"Hardin, IL",4181,1.7699115044247788
602,145,"Henderson, IL",6990,2.074391988555079
603,477,"Henry, IL",49860,0.9566787003610109
604,487,"Iroquois, IL",28982,1.6803533227520528
605,555,"Jackson, IL",59814,0.9278764168923663
606,165,"Jasper, IL",9592,1.7201834862385321
607,824,"Jefferson, IL",38644,2.1322844426042855
608,187,"Jersey, IL",22641,0.8259352502097963
609,248,"Jo Daviess, IL",22407,1.106796983085643
610,294,"Johnson, IL",12677,2.319160684704583
611,13348,"Kane, IL",523643,2.549064916364775
612,1757,"Kankakee, IL",112120,1.567070995362112
613,3093,"Kendall, IL",119348,2.5915809230150484
614,792,"Knox, IL",52078,1.520795729482699
615,13098,"Lake, IL",703019,1.8631075404789914
616,1835,"LaSalle, IL",112183,1.635720207161513
617,316,"Lawrence, IL",16558,1.9084430486773767
618,557,"Lee, IL",34858,1.5979115267657353
619,639,"Livingston, IL",38186,1.67338815272613
620,309,"Logan, IL",29964,1.0312374849819783
621,505,"McDonough, IL",32464,1.5555692459339576
622,5001,"McHenry, IL",307409,1.6268228971825809
623,1995,"McLean, IL",174647,1.1423041907390337
624,2150,"Macon, IL",109278,1.9674591409066782
625,818,"Macoupin, IL",46880,1.7448805460750851
626,5273,"Madison, IL",267225,1.9732435213771167
627,803,"Marion, IL",38622,2.0791258868002696
628,260,"Marshall, IL",12153,2.1393894511643214
629,358,"Mason, IL",14248,2.51263335204941
630,287,"Massac, IL",15073,1.9040668745438865
631,218,"Menard, IL",12607,1.7291980645673037
632,217,"Mercer, IL",16178,1.3413277290147114
633,296,"Monroe, IL",33493,0.8837667572328546
634,479,"Montgomery, IL",29654,1.6152964186956227
635,449,"Morgan, IL",35067,1.280406079790116
636,257,"Moultrie, IL",14876,1.727614950255445
637,739,"Ogle, IL",52385,1.410709172473036
638,3077,"Peoria, IL",188429,1.6329758158245282
639,221,"Perry, IL",21887,1.0097318042673733
640,341,"Piatt, IL",16433,2.0750928010710155
641,240,"Pike, IL",16150,1.4860681114551082
642,83,"Pope, IL",4312,1.924860853432282
643,132,"Pulaski, IL",5908,2.2342586323628977
644,95,"Putnam, IL",5801,1.6376486812618514
645,437,"Randolph, IL",32890,1.3286713286713288
646,232,"Richland, IL",16182,1.4336917562724014
647,2232,"Rock Island, IL",147258,1.5157071262681823
648,5439,"St. Clair, IL",266955,2.0374220374220373
649,479,"Saline, IL",24939,1.9206864749989978
650,2702,"Sangamon, IL",199145,1.3568003213738733
651,167,"Schuyler, IL",7444,2.243417517463729
652,69,"Scott, IL",5222,1.3213328226733052
653,551,"Shelby, IL",22119,2.49107102491071
654,95,"Stark, IL",5907,1.6082613847976976
655,738,"Stephenson, IL",46740,1.5789473684210527
656,2029,"Tazewell, IL",136352,1.488060314480169
657,259,"Union, IL",17583,1.4730137064209747
658,1461,"Vermilion, IL",80329,1.8187703071120018
659,259,"Wabash, IL",11665,2.2203171881697386
660,309,"Warren, IL",17726,1.7432020760464855
661,152,"Washington, IL",14448,1.052048726467331
662,185,"Wayne, IL",16612,1.1136527811220804
663,80,"White, IL",14549,0.5498659701697711
664,910,"Whiteside, IL",57557,1.5810414024358461
665,16145,"Will, IL",682829,2.3644279900238563
666,1074,"Williamson, IL",66924,1.604805450959297
667,6226,"Winnebago, IL",290666,2.1419773898563985
668,542,"Woodford, IL",39273,1.38008300868281
669,744,"Adams, IN",34614,2.1494193101057375
670,6222,"Allen, IN",363014,1.7139834827306935
671,1605,"Bartholomew, IN",79587,2.016661012476912
672,250,"Benton, IN",8767,2.851602600661572
673,193,"Blackford, IN",12481,1.546350452688086
674,849,"Boone, IN",60477,1.4038394761644923
675,566,"Brown, IN",15023,3.7675564134993014
676,476,"Carroll, IN",20086,2.369809817783531
677,871,"Cass, IN",38463,2.264513948469958
678,2684,"Clark, IN",112938,2.376525173103827
679,655,"Clay, IN",26803,2.443756295937022
680,780,"Clinton, IN",32916,2.3696682464454977
681,220,"Crawford, IN",10621,2.07136804444026
682,581,"Daviess, IN",32407,1.792822538340482
683,773,"Dearborn, IN",49904,1.5489740301378647
684,738,"Decatur, IN",26277,2.8085397876469917
685,917,"DeKalb, IN",42307,2.167490013472948
686,1972,"Delaware, IN",117484,1.6785264376425726
687,354,"Dubois, IN",42361,0.8356743230801917
688,4043,"Elkhart, IN",200563,2.0158254513544374
689,669,"Fayette, IN",23861,2.803738317757009
690,1264,"Floyd, IN",76244,1.657835370652117
691,317,"Fountain, IN",16880,1.8779620853080567
692,295,"Franklin, IN",22951,1.2853470437017995
693,466,"Fulton, IN",20449,2.278840041077803
694,493,"Gibson, IN",33612,1.4667380697369987
695,1263,"Grant, IN",69126,1.8270983421577989
696,742,"Greene, IN",32781,2.263506299380739
697,2909,"Hamilton, IN",296693,0.9804747668465383
698,996,"Hancock, IN",71575,1.3915473279776458
699,775,"Harrison, IN",39163,1.9789086637898017
700,2731,"Hendricks, IN",153879,1.7747710863730595
701,791,"Henry, IN",49044,1.6128374520838433
702,1539,"Howard, IN",82760,1.8595940067665537
703,508,"Huntington, IN",36791,1.380772471528363
704,718,"Jackson, IN",43466,1.651865826162978
705,666,"Jasper, IN",33389,1.9946689029321036
706,371,"Jay, IN",21330,1.7393342709798407
707,926,"Jefferson, IN",32458,2.8529176166122374
708,702,"Jennings, IN",28241,2.4857476718246523
709,3301,"Johnson, IN",145535,2.2681829113271723
710,800,"Knox, IN",37954,2.107814723085841
711,1500,"Kosciusko, IN",77963,1.9239895848030475
712,836,"LaGrange, IN",37996,2.200231603326666
713,11858,"Lake, IN",491456,2.4128304466727437
714,2142,"LaPorte, IN",111281,1.9248568938093655
715,1094,"Lawrence, IN",45844,2.3863537213157664
716,2678,"Madison, IN",130482,2.05239036802011
717,17854,"Marion, IN",928281,1.923340023118
718,994,"Marshall, IN",47109,2.1100002122736634
719,272,"Martin, IN",10160,2.677165354330709
720,699,"Miami, IN",36140,1.9341449916989484
721,1446,"Monroe, IN",141888,1.0191136671177266
722,877,"Montgomery, IN",38177,2.2971946459910417
723,1717,"Morgan, IN",69782,2.460519904846522
724,198,"Newton, IN",14087,1.4055512174345142
725,978,"Noble, IN",47570,2.0559175951229767
726,134,"Ohio, IN",5994,2.2355689022355687
727,360,"Orange, IN",19773,1.8206645425580334
728,701,"Owen, IN",21201,3.3064478090656104
729,386,"Parke, IN",17202,2.243925124985467
730,458,"Perry, IN",19558,2.3417527354535226
731,220,"Pike, IN",12683,1.7346053772766694
732,2999,"Porter, IN",166557,1.8005847847883907
733,586,"Posey, IN",25486,2.299301577336577
734,270,"Pulaski, IN",13007,2.0758053355885293
735,821,"Putnam, IN",37505,2.189041461138515
736,415,"Randolph, IN",25627,1.619385804034807
737,558,"Ripley, IN",28419,1.963475139871213
738,263,"Rush, IN",17004,1.5466948953187485
739,4208,"St. Joseph, IN",266709,1.5777495322617536
740,566,"Scott, IN",23972,2.361087935925246
741,983,"Shelby, IN",44729,2.197679357910975
742,265,"Spencer, IN",20944,1.2652788388082505
743,691,"Starke, IN",23197,2.9788334698452386
744,655,"Steuben, IN",34358,1.9063973455963679
745,474,"Sullivan, IN",21223,2.233426000094237
746,411,"Switzerland, IN",10526,3.9046171385141557
747,2462,"Tippecanoe, IN",180174,1.366456869470623
748,561,"Tipton, IN",15650,3.5846645367412138
749,177,"Union, IN",7277,2.432321011405799
750,3374,"Vanderburgh, IN",181398,1.8599984564328165
751,358,"Vermillion, IN",15878,2.2546920267036152
752,1938,"Vigo, IN",108291,1.789622406294152
753,623,"Wabash, IN",32358,1.9253353112058842
754,96,"Warren, IN",8415,1.1408199643493762
755,858,"Warrick, IN",61049,1.40542842634605
756,713,"Washington, IN",27780,2.5665946724262056
757,1681,"Wayne, IN",67893,2.4759548112471093
758,430,"Wells, IN",27814,1.545984036815992
759,548,"White, IN",24466,2.239843047494482
760,459,"Whitley, IN",33294,1.378626779599928
761,80,"Adair, IA",7472,1.070663811563169
762,14,"Adams, IA",3894,0.35952747817154596
763,82,"Allamakee, IA",14169,0.5787282094713811
764,135,"Appanoose, IA",12692,1.0636621493854397
765,69,"Audubon, IA",5873,1.1748680401838925
766,244,"Benton, IA",25699,0.9494532861200824
767,1773,"Black Hawk, IA",132546,1.3376488162600155
768,162,"Boone, IA",26364,0.6144742831133363
769,97,"Bremer, IA",24624,0.3939246263807667
770,172,"Buchanan, IA",20976,0.8199847444698702
771,538,"Buena Vista, IA",20567,2.615840910195945
772,108,"Butler, IA",15021,0.7189934092270821
773,37,"Calhoun, IA",9926,0.37275841225065487
774,47,"Carroll, IA",20598,0.22817749296048162
775,64,"Cass, IA",13598,0.4706574496249448
776,261,"Cedar, IA",18393,1.4190181047137498
777,457,"Cerro Gordo, IA",43575,1.0487664945496271
778,102,"Cherokee, IA",11945,0.8539137714524905
779,200,"Chickasaw, IA",12321,1.6232448664881098
780,113,"Clarke, IA",9325,1.2117962466487937
781,181,"Clay, IA",16491,1.0975683706264023
782,180,"Clayton, IA",17773,1.0127721825240532
783,585,"Clinton, IA",48420,1.20817843866171
784,260,"Crawford, IA",17434,1.49133876333601
785,989,"Dallas, IA",74641,1.3250090432872013
786,70,"Davis, IA",8791,0.7962689113866455
787,95,"Decatur, IA",8136,1.1676499508357914
788,216,"Delaware, IA",17534,1.231892323485799
789,640,"Des Moines, IA",40480,1.5810276679841897
790,62,"Dickinson, IA",16955,0.3656738425243291
791,846,"Dubuque, IA",95697,0.8840402520455186
792,177,"Emmet, IA",9996,1.7707082833133252
793,172,"Fayette, IA",20502,0.8389425421910058
794,142,"Floyd, IA",16092,0.8824260502112852
795,99,"Franklin, IA",10548,0.938566552901024
796,75,"Fremont, IA",7080,1.059322033898305
797,174,"Greene, IA",9139,1.9039282197176937
798,64,"Grundy, IA",12314,0.5197336365112879
799,169,"Guthrie, IA",10687,1.5813605314868533
800,112,"Hamilton, IA",15312,0.7314524555903866
801,136,"Hancock, IA",11094,1.2258878673156661
802,177,"Hardin, IA",17441,1.0148500659365862
803,301,"Harrison, IA",14431,2.0857875407109696
804,213,"Henry, IA",20222,1.0533082781129461
805,104,"Howard, IA",9526,1.0917488977535168
806,57,"Humboldt, IA",9688,0.588356729975227
807,82,"Ida, IA",7141,1.1482985576249825
808,102,"Iowa, IA",16330,0.6246172688303736
809,154,"Jackson, IA",19587,0.7862357686220453
810,517,"Jasper, IA",36641,1.4109876913839687
811,300,"Jefferson, IA",16810,1.784651992861392
812,1103,"Johnson, IA",139155,0.7926412992705976
813,268,"Jones, IA",20611,1.300276551356072
814,130,"Keokuk, IA",10329,1.258592312905412
815,150,"Kossuth, IA",15321,0.9790483649892304
816,699,"Lee, IA",35682,1.9589709097023709
817,2578,"Linn, IA",216111,1.192905497637788
818,167,"Louisa, IA",11282,1.4802340010636412
819,55,"Lucas, IA",8746,0.6288589069288818
820,83,"Lyon, IA",11712,0.7086748633879781
821,159,"Madison, IA",15448,1.0292594510616262
822,199,"Mahaska, IA",22417,0.8877191417227996
823,543,"Marion, IA",33252,1.632984482136413
824,675,"Marshall, IA",40994,1.6465824266965898
825,263,"Mills, IA",14896,1.7655746509129968
826,66,"Mitchell, IA",10709,0.6163040433280418
827,76,"Monona, IA",9121,0.8332419690823375
828,18,"Monroe, IA",8012,0.22466300549176238
829,161,"Montgomery, IA",10424,1.544512663085188
830,710,"Muscatine, IA",42836,1.6574843589504156
831,106,"O'Brien, IA",14044,0.7547707205924239
832,78,"Osceola, IA",6211,1.2558364192561584
833,65,"Page, IA",15713,0.4136702093807675
834,69,"Palo Alto, IA",9185,0.7512248230811105
835,230,"Plymouth, IA",24957,0.921585126417438
836,29,"Pocahontas, IA",7154,0.4053676265026559
837,7121,"Polk, IA",451677,1.5765690969431696
838,1653,"Pottawattamie, IA",92728,1.7826330773876284
839,258,"Poweshiek, IA",18601,1.3870222031073598
840,35,"Ringgold, IA",5072,0.6900630914826498
841,53,"Sac, IA",10071,0.5262635289444941
842,2710,"Scott, IA",170385,1.5905155970302551
843,171,"Shelby, IA",11961,1.4296463506395787
844,311,"Sioux, IA",34547,0.9002228847656816
845,465,"Story, IA",92406,0.5032140770079865
846,386,"Tama, IA",17576,2.196176604460628
847,78,"Taylor, IA",6161,1.2660282421684792
848,136,"Union, IA",12583,1.0808233330684256
849,60,"Van Buren, IA",7436,0.8068854222700376
850,606,"Wapello, IA",35391,1.7122997372213276
851,543,"Warren, IA",47336,1.1471184721987493
852,266,"Washington, IA",22015,1.208267090620032
853,94,"Wayne, IA",6402,1.4682911590128085
854,329,"Webster, IA",37044,0.8881330309901738
855,45,"Winnebago, IA",10554,0.42637862421830586
856,122,"Winneshiek, IA",20994,0.5811184147851767
857,1806,"Woodbury, IA",102130,1.7683344756682657
858,79,"Worth, IA",7541,1.047606418246917
859,230,"Wright, IA",12972,1.773049645390071
860,206,"Allen, KS",13124,1.5696434014020118
861,81,"Anderson, KS",7897,1.0257059642902366
862,252,"Atchison, KS",16749,1.5045674368619022
863,87,"Barber, KS",4947,1.758641600970285
864,673,"Barton, KS",27509,2.4464720636882475
865,232,"Bourbon, KS",14852,1.5620791812550499
866,271,"Brown, KS",9997,2.7108132439731922
867,1081,"Butler, KS",65803,1.6427822439706399
868,25,"Chase, KS",2700,0.9259259259259258
869,75,"Chautauqua, KS",3552,2.1114864864864864
870,762,"Cherokee, KS",20978,3.6323767756697487
871,9,"Cheyenne, KS",2694,0.33407572383073497
872,69,"Clark, KS",2193,3.146374829001368
873,370,"Clay, KS",8406,4.4016178919819176
874,68,"Cloud, KS",9292,0.7318123116659492
875,141,"Coffey, KS",8412,1.6761768901569187
876,5,"Comanche, KS",1955,0.2557544757033248
877,749,"Cowley, KS",36204,2.068832173240526
878,326,"Crawford, KS",39278,0.8299811599368604
879,43,"Decatur, KS",2930,1.4675767918088738
880,354,"Dickinson, KS",19609,1.8052934876842266
881,191,"Doniphan, KS",7851,2.4328111068653677
882,1085,"Douglas, KS",114322,0.9490736691100575
883,29,"Edwards, KS",2945,0.9847198641765704
884,46,"Elk, KS",2655,1.7325800376647833
885,276,"Ellis, KS",29061,0.949726437493548
886,64,"Ellsworth, KS",6398,1.000312597686777
887,1119,"Finney, KS",37098,3.0163351124049815
888,598,"Ford, KS",34819,1.7174531146787673
889,471,"Franklin, KS",25740,1.8298368298368297
890,413,"Geary, KS",37384,1.1047506954846993
891,23,"Gove, KS",2769,0.8306247742867461
892,0,"Graham, KS",2593,0.0
893,234,"Grant, KS",7950,2.943396226415094
894,34,"Gray, KS",6009,0.5658179397570311
895,5,"Greeley, KS",1290,0.3875968992248062
896,211,"Greenwood, KS",6424,3.284557907845579
897,32,"Hamilton, KS",2609,1.2265235722499042
898,81,"Harper, KS",5860,1.3822525597269624
899,412,"Harvey, KS",34741,1.1859186551912726
900,99,"Haskell, KS",4141,2.3907268775658053
901,32,"Hodgeman, KS",1950,1.641025641025641
902,278,"Jackson, KS",13366,2.079904234625168
903,346,"Jefferson, KS",18813,1.83915377664381
904,9,"Jewell, KS",3046,0.29546946815495734
905,6526,"Johnson, KS",566933,1.1511060389852064
906,60,"Kearny, KS",3923,1.5294417537598775
907,70,"Kingman, KS",7844,0.8924018357980621
908,7,"Kiowa, KS",2523,0.27744748315497425
909,589,"Labette, KS",20916,2.816026008797093
910,28,"Lane, KS",1720,1.627906976744186
911,1485,"Leavenworth, KS",78185,1.8993413058770865
912,37,"Lincoln, KS",3147,1.1757229107086113
913,58,"Linn, KS",9516,0.6094997898276587
914,43,"Logan, KS",2798,1.5368120085775554
915,541,"Lyon, KS",33510,1.6144434497165028
916,338,"McPherson, KS",29569,1.1430890459602963
917,236,"Marion, KS",12219,1.9314182830018825
918,103,"Marshall, KS",10002,1.0297940411917617
919,45,"Meade, KS",4343,1.036150126640571
920,789,"Miami, KS",32835,2.4029237094563727
921,7,"Mitchell, KS",6378,0.10975227343994984
922,648,"Montgomery, KS",34292,1.889653563513356
923,60,"Morris, KS",5741,1.0451140916216688
924,66,"Morton, KS",3143,2.099904549793191
925,94,"Nemaha, KS",10161,0.9251057966735557
926,240,"Neosho, KS",16430,1.4607425441265978
927,42,"Ness, KS",3073,1.366742596810934
928,92,"Norton, KS",5622,1.6364283173247955
929,290,"Osage, KS",16142,1.796555569322265
930,49,"Osborne, KS",3818,1.283394447354636
931,31,"Ottawa, KS",6042,0.5130751406818934
932,120,"Pawnee, KS",6971,1.7214173002438673
933,34,"Phillips, KS",5540,0.6137184115523465
934,344,"Pottawatomie, KS",22691,1.516019567229298
935,159,"Pratt, KS",9878,1.6096375784571775
936,12,"Rawlins, KS",2589,0.4634994206257242
937,722,"Reno, KS",64190,1.1247857921794673
938,27,"Republic, KS",4820,0.5601659751037344
939,186,"Rice, KS",10011,1.85795624812706
940,596,"Riley, KS",75394,0.7905138339920948
941,105,"Rooks, KS",5190,2.023121387283237
942,7,"Rush, KS",3186,0.2197112366603892
943,48,"Russell, KS",6933,0.6923409779316313
944,694,"Saline, KS",55740,1.2450663796196626
945,43,"Scott, KS",5035,0.8540218470705064
946,10239,"Sedgwick, KS",505415,2.0258599368835513
947,751,"Seward, KS",23390,3.21077383497221
948,2703,"Shawnee, KS",178831,1.5114829084442853
949,46,"Sheridan, KS",2553,1.8018018018018018
950,66,"Sherman, KS",6115,1.0793131643499592
951,0,"Smith, KS",3706,0.0
952,66,"Stafford, KS",4359,1.5141087405368203
953,34,"Stanton, KS",2194,1.5496809480401095
954,155,"Stevens, KS",5816,2.6650618982118295
955,533,"Sumner, KS",23591,2.2593361875291427
956,84,"Thomas, KS",7948,1.0568696527428285
957,59,"Trego, KS",2980,1.9798657718120807
958,53,"Wabaunsee, KS",7051,0.7516664302935754
959,14,"Wallace, KS",1569,0.8922880815806247
960,24,"Washington, KS",5629,0.4263634748623201
961,23,"Wichita, KS",2192,1.0492700729927007
962,225,"Wilson, KS",9105,2.471169686985173
963,109,"Woodson, KS",3221,3.384042222912139
964,4425,"Wyandotte, KS",160384,2.759003391859537
965,335,"Adair, KY",18732,1.788383514840914
966,369,"Allen, KY",20311,1.8167495445817539
967,544,"Anderson, KY",21811,2.4941543257989087
968,179,"Ballard, KY",8332,2.1483437349976
969,908,"Barren, KY",43027,2.1103028331047944
970,215,"Bath, KY",11961,1.7975085695175987
971,850,"Bell, KY",27885,3.048233817464587
972,2848,"Boone, KY",124442,2.2886163835361053
973,431,"Bourbon, KY",19998,2.1552155215521553
974,1552,"Boyd, KY",48886,3.1747330524076425
975,632,"Boyle, KY",29013,2.1783338503429497
976,306,"Bracken, KY",8416,3.635931558935361
977,421,"Breathitt, KY",13545,3.108157991878922
978,490,"Breckinridge, KY",20040,2.4451097804391217
979,2301,"Bullitt, KY",76854,2.9939886017643844
980,360,"Butler, KY",12793,2.8140389275384976
981,273,"Caldwell, KY",12823,2.1289869765265537
982,729,"Calloway, KY",37657,1.9358950527126428
983,1650,"Campbell, KY",90988,1.8134259462786302
984,157,"Carlisle, KY",5001,3.1393721255748854
985,411,"Carroll, KY",10953,3.752396603670227
986,853,"Carter, KY",27202,3.1357988383207114
987,346,"Casey, KY",16067,2.1534822928984876
988,1503,"Christian, KY",74167,2.026507746032602
989,1116,"Clark, KY",35614,3.1335991464031
990,712,"Clay, KY",21364,3.332709230481183
991,349,"Clinton, KY",10146,3.439779223339247
992,262,"Crittenden, KY",9255,2.8309022150189085
993,214,"Cumberland, KY",6789,3.1521579024893205
994,2132,"Daviess, KY",98218,2.1706815451342933
995,442,"Edmonson, KY",12062,3.664400596915934
996,236,"Elliott, KY",7637,3.0902186722535028
997,490,"Estill, KY",14488,3.3821093318608506
998,4000,"Fayette, KY",308428,1.2968991142179052
999,298,"Fleming, KY",14508,2.0540391508133444
1000,1045,"Floyd, KY",38728,2.6983061350960544
1001,1152,"Franklin, KY",49648,2.320335159523042
1002,157,"Fulton, KY",6385,2.4588880187940485
1003,361,"Gallatin, KY",8474,4.260089686098654
1004,766,"Garrard, KY",16915,4.528524977830328
1005,1248,"Grant, KY",24753,5.041813113561992
1006,856,"Graves, KY",37451,2.2856532535846843
1007,922,"Grayson, KY",25997,3.546563064969035
1008,90,"Green, KY",11180,0.8050089445438283
1009,1404,"Greenup, KY",36519,3.8445740573400147
1010,295,"Hancock, KY",8687,3.3958788995050075
1011,2474,"Hardin, KY",108191,2.286696675324195
1012,1064,"Harlan, KY",28499,3.7334643320818275
1013,474,"Harrison, KY",18518,2.5596716708067824
1014,354,"Hart, KY",18573,1.9059925698594735
1015,1161,"Henderson, KY",46347,2.5050165059227134
1016,619,"Henry, KY",15445,4.0077695046940764
1017,93,"Hickman, KY",4745,1.9599578503688093
1018,1104,"Hopkins, KY",46634,2.367371445726294
1019,701,"Jackson, KY",13427,5.220823713413272
1020,15829,"Jefferson, KY",756832,2.0914813327132045
1021,942,"Jessamine, KY",50173,1.877503836724932
1022,741,"Johnson, KY",23449,3.1600494690605143
1023,3666,"Kenton, KY",163145,2.247080817677526
1024,413,"Knott, KY",15976,2.5851276915373056
1025,756,"Knox, KY",31790,2.378106322743001
1026,237,"Larue, KY",14064,1.6851535836177476
1027,1643,"Laurel, KY",59563,2.7584238537347012
1028,453,"Lawrence, KY",15856,2.856962663975782
1029,66,"Lee, KY",7260,0.9090909090909091
1030,306,"Leslie, KY",11019,2.777021508303839
1031,727,"Letcher, KY",23619,3.0780303992548372
1032,364,"Lewis, KY",13806,2.6365348399246704
1033,1063,"Lincoln, KY",24370,4.361920393926959
1034,389,"Livingston, KY",9359,4.1564269686932365
1035,461,"Logan, KY",26876,1.715285012650692
1036,89,"Lyon, KY",8451,1.0531298071234172
1037,1193,"McCracken, KY",65373,1.8249124256191394
1038,501,"McCreary, KY",17989,2.7850352993496026
1039,180,"McLean, KY",9496,1.8955349620893007
1040,1615,"Madison, KY",85590,1.8869026755462086
1041,487,"Magoffin, KY",12950,3.7606177606177607
1042,511,"Marion, KY",20045,2.5492641556497877
1043,616,"Marshall, KY",31107,1.9802616774359467
1044,411,"Martin, KY",12647,3.2497825571281727
1045,244,"Mason, KY",17278,1.4122004861673805
1046,908,"Meade, KY",29210,3.1085244779185213
1047,200,"Menifee, KY",6288,3.1806615776081424
1048,531,"Mercer, KY",21349,2.48723593610942
1049,231,"Metcalfe, KY",9983,2.313933687268356
1050,125,"Monroe, KY",10681,1.1703024061417469
1051,736,"Montgomery, KY",27251,2.700818318593813
1052,343,"Morgan, KY",13380,2.563527653213752
1053,1036,"Muhlenberg, KY",31179,3.3227492863786527
1054,792,"Nelson, KY",44540,1.778176919622811
1055,313,"Nicholas, KY",7039,4.446654354311692
1056,941,"Ohio, KY",23988,3.9227947306986826
1057,968,"Oldham, KY",62364,1.5521775383233916
1058,186,"Owen, KY",10662,1.7445132245357344
1059,200,"Owsley, KY",4654,4.297378599054577
1060,596,"Pendleton, KY",14570,4.090597117364448
1061,857,"Perry, KY",28010,3.05962156372724
1062,1897,"Pike, KY",63380,2.99305774692332
1063,432,"Powell, KY",12494,3.457659676644789
1064,1830,"Pulaski, KY",63907,2.8635360758602344
1065,77,"Robertson, KY",2235,3.4451901565995526
1066,471,"Rockcastle, KY",16693,2.821541963697358
1067,535,"Rowan, KY",23527,2.2739830832660344
1068,568,"Russell, KY",17752,3.199639477242001
1069,1119,"Scott, KY",49947,2.240374797285122
1070,1028,"Shelby, KY",44216,2.324950244255473
1071,441,"Simpson, KY",17793,2.4785027819929186
1072,472,"Spencer, KY",17637,2.6761920961614787
1073,776,"Taylor, KY",24649,3.148200738366668
1074,223,"Todd, KY",12503,1.783571942733744
1075,232,"Trigg, KY",14293,1.6231721821870846
1076,298,"Trimble, KY",8816,3.3802177858439206
1077,296,"Union, KY",15029,1.9695255838711825
1078,2316,"Warren, KY",118370,1.956576835346794
1079,207,"Washington, KY",11875,1.743157894736842
1080,512,"Wayne, KY",20678,2.4760615146532547
1081,389,"Webster, KY",13452,2.8917633065715136
1082,1148,"Whitley, KY",35766,3.2097522787004418
1083,294,"Wolfe, KY",7248,4.056291390728477
1084,427,"Woodford, KY",25275,1.6894164193867456
1085,1527,"Androscoggin, ME",107604,1.4190922270547563
1086,1063,"Aroostook, ME",70055,1.517379202055528
1087,3122,"Cumberland, ME",285456,1.0936886945799
1088,605,"Franklin, ME",30495,1.9839317920970652
1089,597,"Hancock, ME",54845,1.088522198924241
1090,1974,"Kennebec, ME",121164,1.629196791126077
1091,432,"Knox, ME",39550,1.0922882427307206
1092,592,"Lincoln, ME",34088,1.73668153015724
1093,930,"Oxford, ME",57277,1.6236883915009517
1094,2348,"Penobscot, ME",153364,1.5309981481964476
1095,367,"Piscataquis, ME",17124,2.1431908432609204
1096,367,"Sagadahoc, ME",35013,1.0481821037900207
1097,720,"Somerset, ME",51706,1.3924882992302634
1098,621,"Waldo, ME",38940,1.5947611710323575
1099,578,"Washington, ME",32190,1.7955886921404163
1100,3326,"York, ME",199431,1.6677447337675688
1101,1530,"Allegany, MD",73521,2.0810380707552945
1102,11834,"Anne Arundel, MD",555743,2.1294015399204307
1103,20080,"Baltimore, MD",622104,3.2277561308077107
1104,20080,"Baltimore, MD",823015,2.4398097240026004
1105,2655,"Calvert, MD",90484,2.9342204146589452
1106,812,"Caroline, MD",32693,2.483712109625914
1107,3869,"Carroll, MD",167564,2.308968513523191
1108,2585,"Cecil, MD",101913,2.5364771913298596
1109,5293,"Charles, MD",152864,3.4625549508059454
1110,1001,"Dorchester, MD",32660,3.0649112063686466
1111,4663,"Frederick, MD",241409,1.931576701779967
1112,540,"Garrett, MD",29889,1.8066847335140017
